projectandfeature,methodname,totaltraces,truetraces,precision,recall
Pynche-text,Classic vector model,9,1,0.1111111111111111,1.0
FAME_DBMS-testing,BM25,6,2,0.3333333333333333,1.0
Pynche-colorlist,Classic vector model,11,1,0.09090909090909091,1.0
Pynche-chip,BM25,3,1,0.3333333333333333,1.0
Pynche-typein,BM25,2,1,0.5,1.0
FAME_DBMS-win,BM25,4,2,0.5,1.0
FAME_DBMS-win,Classic vector model,4,2,0.5,1.0
Pynche-loadpalette,Classic vector model,1,1,1.0,1.0
FAME_DBMS-nutos,BM25,5,2,0.4,1.0
Pynche-loadpalette,BM25,1,1,1.0,1.0
FAME_DBMS-nutos,Classic vector model,5,2,0.4,1.0
Pynche-about,Classic vector model,3,1,0.3333333333333333,1.0
FAME_DBMS-write,BM25,9,1,0.1111111111111111,1.0
Pynche-details,BM25,3,1,0.3333333333333333,1.0
Pynche-about,BM25,3,1,0.3333333333333333,1.0
FAME_DBMS-write,Classic vector model,7,1,0.0,0.0
Pynche-help,Classic vector model,2,1,0.5,1.0
Pynche-help,BM25,2,1,0.5,1.0
Pynche-strip,BM25,4,1,0.25,1.0
FAME_DBMS-testing,Classic vector model,6,2,0.3333333333333333,1.0
Pynche-blue,Classic vector model,9,3,0.3333333333333333,1.0
Pynche-green,Classic vector model,9,3,0.3333333333333333,1.0
FAME_DBMS-win,Extended boolean,3,2,0.6666666666666666,1.0
FAME_DBMS-nutos,Extended boolean,2,2,0.0,0.0
FAME_DBMS-write,Extended boolean,1,1,0.0,0.0
Pynche-chip,Classic vector model,3,1,0.3333333333333333,1.0
Pynche-details,Classic vector model,3,1,0.3333333333333333,1.0
Pynche-typein,Classic vector model,2,1,0.5,1.0
FAME_DBMS-win,Neural networks,4,2,0.5,1.0
Pynche-red,Classic vector model,9,3,0.3333333333333333,1.0
FAME_DBMS-nutos,Neural networks,5,2,0.4,1.0
FAME_DBMS-write,Neural networks,8,1,0.125,1.0
Pynche-strip,Classic vector model,4,1,0.25,1.0
FAME_DBMS-testing,Neural networks,5,2,0.4,1.0
Pynche-chip,Extended boolean,3,1,0.3333333333333333,1.0
MinePump_C-stopcommand,Classic vector model,3,2,0.6666666666666666,1.0
MinePump_C-stopcommand,BM25,3,2,0.6666666666666666,1.0
MinePump_C-highwatersensor,Classic vector model,3,3,1.0,1.0
Pynche-details,Extended boolean,3,1,0.3333333333333333,1.0
MinePump_C-lowwatersensor,Classic vector model,3,3,1.0,1.0
Pynche-text,Neural networks,9,1,0.1111111111111111,1.0
MinePump_C-methanealarm,Classic vector model,3,1,0.3333333333333333,1.0
Pynche-typein,Extended boolean,2,1,0.5,1.0
MinePump_C-startcommand,Classic vector model,3,2,0.6666666666666666,1.0
Pynche-colorlist,Neural networks,11,1,0.09090909090909091,1.0
MinePump_C-stopcommand,Neural networks,3,2,0.6666666666666666,1.0
